Timestamp,What Happened and When? (Feel free to include incidents that happened to you or to others close to you in your program/department/campus/lab/disciplinary group),What Was Your Status When the Incident(s) Happened?,"What Was the Status of the Perpetrator(s) (Particularly, relative to you)?",What Type of Institution Was It?,(Optional) What Was The Name of the Institution(s),Your Field/Discipline,The Gender of the Harasser,Institutional Responses to the Harassment (If Any),Institutional/Career Consequences for the Harasser (If Any),The Impact of the Harassment on Your Career,The Impact of the Harassment on Your Mental Health,The Impact of the Harassment on Your Life Choices/Trajectory,"Other Comments You'd Like to Add  (If you'd like me to know your name or the name of the perpetrator, please email me privately at gettenure@gmail.com. The purpose of this survey is to gather anonymous information to give a sense of scale.  As always, I will publish no information without explicit permission and extensive prior discussion)",What Was the Gender of the Harasser?
12/6/2017 11:26:30,"A full-time professor in the design department (not my major) followed me around while I was working on installing a student show. He often stared at me during this process, going out of his way to speak with me DURING his classes. A tenured illustration professor asked a friend of mine if she would be interested in doing some private figure modeling (nude) for him. A graphic design professor would address female peers in my class (including myself) as ""woman."" A full-time staff member at the school texted a student to tell her about his crush on her among other uncomfortable things. He was her boss and she was an undergraduate student-worker. A full-time professor in the film/video department would tell students about his home-life (including his unhappiness with his marriage), would drink and get high in front of students, and went so far as to begin harassing a student online and through texts/calls. He would ask students not to tell anyone about these moments. He often took students out drinking, especially on trips. A professor in graphic design was caught staring down a girl's shirt and caught mumbling under his breath, ""There is a God."" The chair of the photo department would inappropriately speak to female students, ignore male students, and harassed/intimidated a fellow employee. Would stand behind her and watch what she was doing at work for long durations. Etcetera...",Undergraduate and I worked here after I graduated,Professor or Colleague,Small Liberal Arts College,Columbus College of Art and Design,Art,,"The institution or those at the school confided in, have told many of us to speak with the harasser directly. Or it is simply so much a part of every department that it had become our day to day and we knew nothing we said would get anywhere. After many complaints regarding a specific professor, he got a promotion.",None.,,,I don't feel safe in academic environments and it often makes me question my decision and interest in being an educator.,,Male
12/6/2017 11:26:40,In my last year as an undergrad I was talking to a professor as we walked down the hall. He reached behind me and put his arm around me and grabbed my ass. I removed his hand and kept talking ,I was an undergrad student ,Full professor ,Other R1,University of Florida ,Wildlife Ecology,,Not reported,None ,None,Frustration ,None,,Male
12/6/2017 11:33:19,"1. I was told how many women do not return to their pre-baby body status shortly after I returned from a maternity leave that I had to fight to have and congratulated for getting my pre-baby body back. Numerous jokes have been made regarding my breastfeeding status and need for ""pump breaks.""

2. I was told that I would not have trouble finding a job because I'm pretty.

3. I've been touched on the lower back and thighs by male colleagues.",1. Assistant Professor; 2. Doctoral student; 3. All of my life (but mostly as a postdoc),1. Professor and Associate Professor; 2. Associate Professor; 3. Professor,Other R1,,Psychology,,I did not report it.,,"I've felt that having a baby severely impacted my career in general, but has made it ""okay"" for many people to comment on my body, my appearance, how tired I look, my performance, etc.  I also always hear the words of my graduate school adviser who told me that I won't have trouble finding a job because I'm pretty. It haunts me - I want a job based on my ability, not my looks.","It always makes me second-guess myself. Did I do something that makes it okay to say these things to me? Am I living up to my looks? If I make a mistake, will people assume it is because I have competing factors in my life (e.g., my daughter)?",It makes me second-guess myself all of time in my life as well.  And it makes me terrified to raise my daughter in our society.,,1. Male; 2. Female; 3. Male
12/6/2017 11:33:22,"I experienced several interactions with my boss/supervisor as harrassment. On one of our conference trips, he said good night to me by touching my hip and giving me a kiss on the cheek. During another trip, I was staying in one appartment with him and other colleagues. We had separate rooms but shared a bathroom. One night when I came out of the bathroom, he was standing there only in a tshirt and his boxershorts. I just said good night and went to my room. 
Another colleague of mine  (same job position) once told me about the following incident that happened to her: Because he had taken over some work for her, she said that she owed him something. Then he said that he could think of something but this would be inappropriate. 
He often commented on our outfits (one colleague was asked why she did not wear skirts) and told us to use ""our charme"" for achieving some things, e.g. when doing interviews. This all happened between 2011 and 2014.","I was a PhD student and employed by the Political Science department at my university. The person in question was my boss, my PhD supervisor and examiner. The position was temporary and I had many different contracts. Although I was always promised the extension of my contract, it was never done at once and I was unsure how much conflict I could risk. Further, he graded my PhD.","He was full professor, he was my supervisor and the examiner of my PhD thesis.",Other R1,,Political Science,,none,none,"I think that his evaluation of my PhD thesis was influenced by how I reacted to him (being distant, less social) and his letters of recommendation for me became less positive.",It was very stressful because I was worried  that my reaction to him would have negative consequences for my PhD and my career. I further questioned whether I evaluated the situation correctly because other colleagues (mostly men) expressed less concerns about his behavior. I felt a bit alone and excluded from the research group. I had other colleagues though that were very supportive.,"I moved on to another university but his disrespecting behavior towards me still sometimes makes me doubt my qualifications. Further, I still see him at conferences and find it difficult to deal with him.",,Male
12/6/2017 11:33:51,"I experienced several interactions with my boss/supervisor as harrassment. On one of our conference trips, he said good night to me by touching my hip and giving me a kiss on the cheek. During another trip, I was staying in one appartment with him and other colleagues. We had separate rooms but shared a bathroom. One night when I came out of the bathroom, he was standing there only in a tshirt and his boxershorts. I just said good night and went to my room. 
Another colleague of mine  (same job position) once told me about the following incident that happened to her: Because he had taken over some work for her, she said that she owed him something. Then he said that he could think of something but this would be inappropriate. 
He often commented on our outfits (one colleague was asked why she did not wear skirts) and told us to use ""our charme"" for achieving some things, e.g. when doing interviews. This all happened between 2011 and 2014.","I was a PhD student and employed by the Political Science department at my university. The person in question was my boss, my PhD supervisor and examiner. The position was temporary and I had many different contracts. Although I was always promised the extension of my contract, it was never done at once and I was unsure how much conflict I could risk. Further, he graded my PhD.","He was full professor, he was my supervisor and the examiner of my PhD thesis.",Other R1,,Political Science,,none,none,"I think that his evaluation of my PhD thesis was influenced by how I reacted to him (being distant, less social) and his letters of recommendation for me became less positive.",It was very stressful because I was worried  that my reaction to him would have negative consequences for my PhD and my career. I further questioned whether I evaluated the situation correctly because other colleagues (mostly men) expressed less concerns about his behavior. I felt a bit alone and excluded from the research group. I had other colleagues though that were very supportive.,"I moved on to another university but his disrespecting behavior towards me still sometimes makes me doubt my qualifications. Further, I still see him at conferences and find it difficult to deal with him.",,Male
12/6/2017 11:39:16,,,,,,,,,,,,,,
12/6/2017 11:41:35,"A tenured faculty member in my MFA program repeatedly stalked, seduced, and harassed female grad students, often for many years after the fact. He was asked to leave the university and is now a tenured professor at a California university. ",Grad student,"tenured faculty, co-advisor to my thesis",Other R1,Arizona State University,MFA Creative Writing,,None officially. He was asked to leave unofficially.,He was asked to leave unofficially but now has a higher profile position in CA.,"None. I witnessed the systematic behavior and impact on my peers, but was not harassed myself.",Made me distrust faculty mentors and question the motives of men in positions of power who want to work with me.,,,Male
12/6/2017 11:41:51,Extended abuse over 4 month period,Student,Professor (not supervisor),Elite Institution/Ivy League,,Psychology,,Wasn't reported,Wasn't reported,"Unclear yet, happened recently",Experienced major mental health problems during and afterwards,,,Male
12/6/2017 11:42:18,"in the early 1990s I was second year master's student at NYU. My girlfriend was an undergraduate senior at Yale. Both of us are people of color. At the time we were in the class of a professor who had some kind of dual appointment at both schools. This professor is a white male and he knew we were dating. Early in the semester, the professor began hanging out/drinking intensely with my girlfriend and another woman of color in their class. My girlfriend reported that after one such outing the professor insisted on walking her to her off campus apartment. At her door he began asking her to let him come inside, grabbing her and forcibly kissing her when she said no and attempting to open her jacket. She fought him off and he left. After this we both stopped attending his class. We discussed reporting him but my girlfriend wanted to move on. He either called or wrote to apologize and accepted a final paper from her without her further attendance. He did not reach out to me and as a result of the incident I stopped attending both my classes at NYU. I contacted him and my other professor asking for incompletes. The other professor granted me the incomplete, but he never replied and failed me. Confused how to navigate the incident and an F in a master's program I dropped out of graduate school and never returned. This eventually turned my incomplete into another F.",I was a second year master's student at NYU. My girlfriend was a senior at Yale.,He was a professor with a dual appointment/fellowship at both schools,"More Than One Institution (feel free to elaborate in ""Comments"")",Yale and NYU,Cinema Studies,,"None, we did not report","None, we did not report",I dropped out of graduate school and had to pay back student loans on a failed degree attempt. My girlfriend had difficulty graduating in time. She had considered graduate school but abandoned the idea.,We were both professionally aimless and depressed for a number of years. We broke up shortly after.,I have spent my life in para-academic contexts struggling to create the kind of community and work life that I think I could have had if I had stayed in school. I adjunct at a small local college and have been ineligible to apply for tenure track teaching positions because I have no terminal degree. I have thought about just getting a master's somewhere but am ashamed and confused about what happens when I show up with my NYU transcript and the two Fs.,,Male
12/6/2017 11:42:58,"Spring 2017 - The professor of our class made many inappropriate comments to the female students in our class. This included telling the male students to ""keep us in line,"" telling female students to smile, etc. The worst is that he made two separate rape jokes. I reported him after the first, and supposedly someone from the department spoke with him, but he made the second one (this time about pedophilia) after that conversation.",MBA Student,Professor,Other R1,Arizona State University,Business,,"They spoke with him, beyond that none to my knowledge.","None that I know of, he is still teaching classes.","I totally disengaged from the class. I'm sure it had an effect on my grade, and I decided not to pursue entrepreneurship anymore.",It really messed with my mental status. I'm a rape survivor and to hear someone make light of the worst moments of my life was horrible.,"I've decided that we need more female professors, so I'm trying to go back to school for a Ph.D. in hopes that I can be a positive influence.","In general I found a lot of misogyny in the MBA world. I think that ASU did an admirable job trying to combat it, but it wasn't enough. The male students in the program were worse than the professors though. Of course not all men, but there were a lot of guys in the program that were a least a little misogynistic. It would have helped if there were more female professors, female guest speakers, etc.",Male
12/6/2017 11:45:25,"Undergraduate male student read creative piece aloud about sexual and/or fantasies with female and male students in the class, referring to us by name. Professor knew of the content of this piece prior to this student reading it aloud and allowed it to be read. In fact, she encouraged it.",Undergraduate student/ peer,Student: male peer; Professor: instructor/female,R2,University of West Georgia,English-Creative Writing,,I reported the incident formally though the Professor advised me not to; nothing happened to the student or to the Professor. Professor involved is female.,None,none,I'm very much aware that I am not the one in control of my body and that no one will face consequences for telling me they want to rape me or to harm me.,,,Male
12/6/2017 11:47:09,"(1) I presented a poster at the Association of American Geographers (AAG, now American Association of Geographers) Annual Meeting in 2011, my first academic conference. I was twenty-two. A tall, not-quite-middle-aged, loud, white male, wearing, I kid-you-not, a tweed jacket with elbow patches and carrying a leather shoulder bag, walked up to my poster. He stared at it for less than a minute, stepped into my personal space, towering over me, and made a comment about my NAME. Not the content of the intellectual material on the poster. My NAME. Then he turned and walked away. I was stunned. 

(2) I attended an undergraduate-organized geography conference at another school during my last semester of college. At the ""after party"" at the hotel bar the last night of the conference, the guest speaker's husband, also an academic, sat next to me. ""Can I buy your drink? I make a lot of money, a LOT of money, so it's no big deal,"" he said to me. I didn't enjoy drinking then, and I do not drink now, but I thought it rude to refuse his offer. He asked me question after question for what felt like hours. About my work, about my grades, about where I wanted to attend graduate school. I didn't have the opportunity to socialize with anyone else at the table, he was so commanding of my attention. I was uncomfortable. He was insistent that I apply to his school to work with him, even though my research interests were in no way similar to his ""area of expertise."" Finally, I excused myself and went to bed. 

(3) I met a friend's (we graduated from the same undergraduate program and went on to graduate school at different institutions) academic advisor my first semester of graduate school (Fall 2013) when they were attending a conference in a nearby town. My friend slept on my couch so he didn't have to pay for a hotel. His advisor picked him up from my apartment the next day. I gave them both a brief tour of campus. As I stood on the front step of my apartment, my friend's advisor asked if I really wanted to leave the house ""like that."" I was wearing athletic pants. It was early on a Saturday morning. I ignored his comment. 

The next year I met up with my friend and his advisor for lunch during the AAG Annual Meeting (Spring 2015). He commented about my wedding ring, a thin, plain, simple band. ""I assume you wear that because you're a poor graduate student,"" he said. I ignored his comment. Not that it matters, but I wore that ring because I am an athlete.

Three years later, I heard a story from another graduate student in my friend's department, that my friend's advisor had made ""joking"" comments about my friendship with his advisee during a class where he had included a paper I had published in the course syllabus. ""Don't worry,"" he said to my friend's girlfriend, who was taking the class at the time, ""There's nothing going on between them. You don't have any competition with her. She's married."" 

(4) Last spring (April 2017) I was invited to give a guest lecture at the senior recognition night banquet at my undergraduate institution. One of my former professors came up to me to talk. He stared at my chest the entire time. Not that it matters, but I was wearing a modest button up shirt with a blazer over it. I was showing zero cleavage, there was nothing to see. A few months later he invited me on a camping trip to a wilderness area, saying he was ""trying to get alumni together for a Labor Day weekend trip."" I was suspicious about his intentions and said no.  ","(1) Junior, undergraduate

(2) Senior, undergraduate

(3) Graduate student, MA program

(4) Graduate student, first year PhD program","(1) Unknown, likely faculty

(2) Professor

(3) Associate Professor

(4) Professor","More Than One Institution (feel free to elaborate in ""Comments"")","(1) Unknown (2) Queen's University, Canada (3) Kent State University, Kent, Ohio (4) St. Cloud State University, St. Cloud, Minnesota",Geography,,N/A,,I no longer attend social events that involve alcohol,Discomfort,"I intend on completing my PhD, but I will not likely pursue a career in academia","I realize these are minor instances, really just unprofessional behavior rather than harassment. But my discomfort in the above situations leads me to believe that they were only symptoms of more severe actions and attitudes toward women in academia. Others women's experiences with the men mentioned above likely have been much more damaging. ",Male
12/6/2017 11:50:26,,,,,,,,,,,,,,
12/6/2017 11:50:45,"Male professor made sexually-explicit remarks, sexist remarks, and homophobic/ transphobic remarks in class. He would then watch me for my response. When I stopped responding, he kept me after class, yelling at me that I needed to participate and that I was a bitch who was dragging the whole class down.",Master's student,Full professor,,University of Puerto Rico-Mayaguez,English,,Department head told me that reporting him would look bad for me and that nothing would happen to him since the man in question has tenure.,none,I'm not a valued participant in the scholarly community.,I know that there are people who will do similar things to me. I know now that departments and programs will always discourage me from reporting similar incidents.,,I sent him an anonymous glitter bomb.,Male
12/6/2017 11:51:33,"10 years ago, I was a post grad research assistant at a top ranking known Dutch University. The department was scandalous with various professors having sexual relationships with their female PhD students whom they later left their wife for. Top incidents include: 1) Getting patted on the head by an older white male colleague remarking how adorable I was, then started to place his hands on my shoulder while standing behind me staring down my top. I twisted away, stood up and walked away. 2) Having a male lecturer who always leered at bachelor students he was teaching show a flip out full of photos of female undergrads to male students and boasting how he slept with them all. 3) While waiting in line at the airport about to go to my first academic conference, got waved at and then hugged and kissed (unwillingly) by one of the ‘infamous’ professor who slept with his PhD. I jerked away to be confronted with a death stare by the current PHD he was sleeping with who was accompanying him to the same conference. 

In my current role as non-tenure assistant professor at another top Dutch University; I have been subjected to verbal abuse, intimidation and bullying for the past 1.5 years by a supervisor who has carried the same pattern of abuse to women in my position. I’m the 3rd he has pestered in the last 5 years. He likes to accost me in hallways and drag me into his room for a dressing down, I have been called up at the end of the day when no one is around, then threatened by him on the phone. Once he insisted after yelling at me through the phone that I should go out into the hallway and either “cry or pretend to cry” so all who meet me will know that he is not to be messed with. He has called me “a sweet little girl” in multiple professional encounters. The bullying behaviour started when I refused to let his male protégés lift along on my grant which I won single handedly. ","Research assistant, assistant professor. ","Colleague, supervisor. ","More Than One Institution (feel free to elaborate in ""Comments"")",,Urban Studies and Planning,,"I have recently quit as despite all official complaints lodged, the authorities at the university have decided no action can be taken as it’s a he-said, she-said. This is in spite of documentation and eye-witnesses accounts. ","None. He has been admonished but not dealt with. Most who know shared sympathy but said “it is what it is, I’m not surprised and yes, there’s not much change possible”",I was stopped from working on research actively. I was denied tenure or promotion. ,"After 1.5 years of doubling my teaching load in retaliation, I was fighting off depression and possible burn-out. I developed chronic asthma and allergies too. ",I will be leaving the country for a tenure position in a Scandinavian country. I had to stop the process to purchase my home due to career instability and my depression has impacted my home life. ,,Male
12/6/2017 11:52:01,"My boss (chaired professor in Physics and director of the independent research unit I worked in) repeatedly made inappropriate comments regarding a colleague who had just had a baby, remarking on her disgusting breasts, how inconvenient it was that she was breastfeeding (taking time with her office door closed) and that I'd better never get ""knocked up"" and that he would monitor my birth control pills. Also poked a Nobel Prize winning female scientist in the chest while drunkenly ranting at her about how she ""didn't know how to speak to students."" Also kissed our Executive Director (he was married to someone else) on the mouth and groped her before a public event.  Also drew pictures of penises  as a joke while in meetings with his all female staff. ",direct report employee ,my boss. ,Other R1,Arizona State University,Science Communication,,"None. I spoke with the Employee Assistance Office who told me to document my interactions, but when talking to other deans, none of them, notably all male, thought that anything was amiss.","None other than the majority of the program he headed left within 6 months. He's still at ASU, still the darling of the university President.",I switched fields entirely.,"Made me hate going to work everyday, seek out counseling from the Employee Assistance Office, and made me find a new job in a different field.",Took a new position as different from my previous position as I could. ,,Male
12/6/2017 11:52:54,"I was seduced and then raped twice by a professor with whom I was then taking a seminar. The rapes took place in my apartment and at his.  He also frequently pushed me up against the wall in his office and undressed me and fondled and kissed me, against my will.  I was immobilized. ",1st year graduate student,My professor.  Someone I hoped to work with in the future. ,Elite Institution/Ivy League,UC Berkeley,Comparative Literature (English/German/French),,"The title IX officer told me not to tell her his name and actively discouraged me from filing a formal report by describing it as a harrowing, arduous experience in which I would be in trial as much if not more than the perpetrator.  She was cold, indifferent.  She said that unless I filed a formal report there was nothing she or the institution could or would do for me.  ",None,"Devastating.  It led to my dropping out of graduate school and made me vulnerable to further harassment and seduction.  I felt powerless, frightened of repercussions. ","Long-lasting depression and self-doubt, Severe PTSD. ","I left academia and then returned to it briefly, but because I never fully dealt with the PTSD, and consequently developed a severe depressive disorder which led me to drop out of academia entirely.  ",,Male
12/6/2017 11:54:31,"Male professor would stare at my breasts every time I spoke/ was around him. He often told me how I should go to his house for dinner someday. He once told me that I'd make a great high school teacher, since it would let me be a stellar wife too. There are a number of rumors/ stories of this same man having sex with his students and stealing money from the department.",master's student,Full Professor,,University of Puerto Rico-Mayaguez,English,,None.,None.,"I am careful which kinds of shirts I wear to campus, and I don't wear makeup so I don't accidentally entice anyone.",,,,Male
12/6/2017 11:54:52,"I heard stories of one one male prof who propositioned two of his TAs and got angry at them when they didn't take him up on it. This prof also bragged in seminar about all of the older ""cougars"" in the area that he was courting and all of the gifts they were supplying him with in exchange for dates.

There was a male grad student in our department who had physically abused several women (including me--he once slapped me across the face at a party when I started to leave because he wanted me to stay) and was later known to have raped other women at the school. Faculty knew about these incidents and he still completed the degree and they all wrote him recs for jobs.

A male mentor used to make jokes about how I was ""a slut"" and would ask me personal questions about me/my partners. Once, while discussing other women he found attractive, he told me he added that he thought I was hot. This was someone I had developed a friendship with, so the line was blurry. But I always asked myself if he supported my success because of this banter. 

I know of at least three women who have been aggressively propositioned by (drunk) senior male colleagues at conferences. 


",Grad student,,Other R1,,Communication,,,None,Just lack of trust,Anxiety,,,Male
12/6/2017 12:01:39,"There have actually been a number of instances at my institution, both directly related myself and others. There is a tenured faculty member who is known to be ""creepy"" and to look down student's shirts when speaking to them, I was told never to be alone in a room with him, and to always be covered up when speaking to him. This faculty member also likes to get students' phone numbers to talk about things from class, but it is very uncomfortable. Additionally, this same faculty member is known for having failed an entire group of students in class because they were critical of two other females in that class who had gone out for drinks with the faculty member. The graduate school has tried to fire him on numerous occasions, but have not be successful.

Another faculty member was known for having an affair with a former student. 

A graduate student, who is also teaching undergraduate courses, is known for hanging out with, drinking/partying with, dating, and sleeping with undergraduate students. When people complained about it (students and full-time faculty), the department chair said there was nothing he could do about it. 

I personally have had students ask me out and become defensive when I said no. At another institution, a student did this, and then followed me to my car to harass me about why I wouldn't date him. I had to specifically say, ""are you going to follow me to my car?"" for him to leave me alone. 

A friend had a student send her inappropriate emails relating to male genitalia and how he would like to do particular things to her. She complained to the department head who said there was nothing they could do. 

I have also had students question my ability to teach the course by questioning my age and qualifications. 

While it's not exactly sexual harassment, the department at my current institution is also well known for overt sexism and favoritism of white men when making hiring and class assignment choices. ",PhD Student,Professor (tenured),Regional Teaching College,,Literature,,Nothing they could do about it (from department chair),,"None because it's just expected that we deal with it, ignore it, and move on","It's annoying, but hasn't really bothered me. It also makes me very aware of my surroundings and a bit on guard with male faculty and students. ","It does make me question whether I want to continue in an ""old boys' club"" environment that it seems like academia has become, particularly when there still seems to be a lot of victim blaming and repercussions for victims in these circumstances. ",,Male
12/6/2017 12:02:14,"I was in my second semester of a 4 semester program (2 academic yrs) in an engineering lab run by the lecture instructor. I was holding a heavy piece of laboratory equipment with both hands when the lecture instructor walked over to me and poked me in the stomach and asked if I was ticklish. I asked, ""Excuse me?"" and he repeated the action and the question. Another female classmate stood by watching with her mouth open stunned into speechlessness and asked if I was okay after. I had classes and labs led by this instructor all four semesters of that program before I transferred to another institution to finish my Bachelor of Science in Engineering.",Student,Instructor/Professor,Other Type of School,SAIT (Southern Alberta Institute of Technology),Petroleum Engineering Techologist,,None. I was much younger at the time and I didn't think it was serious enough to report to the department head.,None as far as I am aware. I left that institution in 2008.,"None. I decided to continue on with pursuing a degree and career in engineering, but my career has not been sexual harassment or assault free by a long shot. This incident was probably one of the more benign ones.","While this was not the first incident of sexual harassment that I experienced up to that point in my life (I was ~19-20 at the time), it was after that I started thinking that I wasn't seen by men as a person but as an object or a conquest. ","I avoid putting myself into situations where men in positions of power can target me (I tend to stick in groups). I keep discussions straight and to the point, possibly interpreted to be ""cold"" so my normal ""nice"" demeanor can't be interpreted as a sexual advance.","It seems like women are being driven now more than ever to pursue education and careers in STEM, but the ""old boys club"" and the sick justification of their behaviour still exists despite codes of conduct, employee handbooks, etc. If I had a re-do of my life, I'm not sure I would have continued on in STEM to be honest as the sexual harassment just got worse in the corporate environment.",Male
12/6/2017 12:03:16,"A tenure track faculty member, who was my instructor at the time, came up behind me at a holiday party and propositioned me. Someone was giving a speech, and she walked up behind me, put her hand on my butt, and leaned in to whisper in my ear. She told that I could come home with her that night and that her husband wouldn't care. They had a deal, she said. The speech ended, I walked away as fast as I could, and we never talked about it again.",I was a graduate student and TA.,"A tenure track professor, who was my instructor at the time of the incident.",R2,,,,"None. What would they even be able to do if I had said anything?
","None, although this person was later reprimanded for other offenses. ","None, surprisingly. If anything I think she was nicer to me in class than to my classmates.",I was pretty mad about it.,"None, although I definitely avoided this person for the rest of graduate school!",,Female
12/6/2017 12:05:09,"I was sexually assaulted by a colleague in 2009, who proceeded to grope and harass and belittle me for years, until I finally filed a report in 2012. This same colleague was harassing two of our departmental staff, another TT professor, and female grad students from several departments. ",newly hired TT assistant professor,"Assistant prof, but years ahead of me, served on the department's Personnel Committee ",Other R1,UMass Amherst,Humanities,,"I reported this to complaint handlers in my department when it happened, and no one did anything. I finally filed a complaint with the office of Equity and Diversity, which handles Title IX stuff, and they dragged their investigation out for 9 months. There were two other pending complaints against the same guy. I had my office moved out of the department, and I was removed from 2 committees and told not to attend a series of campus-wide events for a semester to avoid running in to him. They ultimately ruled that I misunderstood his physical contact with me, because he is Latino and touches people. He got tenure while the investigations were going on.","None. He got tenure during the investigation, and had won a big NEH grant. He left UMass for other reasons, and is at another R1 institution now. He has important and well placed protectors.","I have a reputation as a troublemaker. My assailant filed a successful complaint of workplace bullying against me about a year after my complaint was dismissed. There's a letter in my personnel file. I do not get appointed to interesting or important committees, including the Personnel Committee. People at the university steer clear of me.","My mental health suffered considerably. I was diagnosed with PTSD after the events--but it was the University response that was the most devastating to me. I tried to take some time off through our sick leave police while the investigation was going on because I was having trouble being on campus and teaching, but I was told that if I ""sicked out,"" it would ""look bad"" for my complaint--like I filed it just to get time off.","I'm still at this awful university, and I'm deeply unhappy but I don't want to leave academia entirely. I am now a full professor, but I do think about leaving every day. While my perpetrator might be gone, the people who protected him are still here. One of the hardest things about this has been the number of women who didn't stand by me, said they believed him, said they were ""friends with both of us."" ",,Male
12/6/2017 12:12:26,"As a graduate student teaching assistant, I was told that my male students would never learn anything in my sections because they would be too distracted by my appearance (as a normal-looking young woman in modest clothing). ",graduate student,senior graduate student (Head TA),Elite Institution/Ivy League,,Political Science,,None,None,none that I am aware of ,"Now as an assistant prof, I still second-guess whether any of my students pay attention to what I say rather than how I look. ",none,,Male
12/6/2017 12:14:38,"I was invited out to have a drink with two colleagues to discuss collaboration on an upcoming symposium project that our work bore relation to. He was accompanied by a female colleague. He flirted really flagrantly with me, asking me my ethnicity and background and staring at me, to the point that my friends asked me if I was okay afterwards. He also asked what I did (not what my colleagues did) and name-dropped all these famous academics he said I could meet if I called him on his cell phone (which he only gave to me). Etc, it was endless. I left feeling really shaken and discouraged about my work, like it had been a set-up, but also like if all of those people he mentioned were his friend then I had to let it go.",graduate student,very celebrated visiting fellow ,Other R1,,,,"didn't report it, didn't see the point - he had his hands in a few different departments and he's well respected",of course not,"I'm wary every time I take a meeting with a more accredited male scholar and try not to do it alone. Also, more self doubt; I left that meeting feeling like the way to get ahead in the academy might be to let people like that introduce me to others and hope that they're not like him.",,,,Male
12/6/2017 12:14:43,"A Chair at the university I attended and worked at sexually harassed me and three other student works at the library we all worked at. He would grab us, brush up against us and stare at us while we worked.",Student workers at the largest university in Canada,Chair of a Department; Professor,Elite Institution/Ivy League,University of Toronto,Anthropology,,"He was banned from the library for 6 months, we were asked to meet with him face to face so he could address our accusations. HR handled the case appallingly, they insisted we not meet all together so as not to fed off one another hysteria, they even posed the idea that when we were being sexually harassed the professor had simply been ""deep in academic thought"". ",I'm fairly certain I was overlooked for a job because of the harassment complaint,"None, except my suspicion about HR opting not to hire me right after the complaint ","As an individual with mental health issues to begin with I found the incident very disruptive to my mental well being. I have difficult trusting men, difficulty believing that anyone cares what happens to me, or women as a group.","I'm now a firm advocate for victims of sexual abuse and an ally for women, I feel like it's made me very weary of men, and institutions of power that prompt and shield toxic masculine behaviors. ",,Male
12/6/2017 12:21:16,"Harassed at an admissions interview - interviewer placed his hand on my knee, well up under my skirt. Ostensibly it was to reassure me that I didn't need to know much about his own research (which I hadn't really read up on in depth, giving I was not applying to work in his lab or sub-field... which was a fact I tried to explain but he had great difficulty grasping)",PhD program applicant,Professor and member of admissions committee,Elite Institution/Ivy League,"University of Toronto, Canada",Medical Genetics,,Nil. Mentioned to Head of Department that I had not appreciated this guy's interview style when I withdrew my application. He seemed to feel they'd done a good job in screening out someone who wasn't entirely committed to a career in his field and thought she could do other things. ,Nil,"Couldn't bring myself to apply to another grad programme in that field and do another set of interviews for admission. Though I had already been awarded a competitive 3-year Doctoral Fellowship from the Medical Research Council to pursue doctoral-level study in biological sciences/genetics, I didn't want to go on in that field. I declined the funding. I decided to leave STEM for social sciences, retraining via a masters.  

I later found out that another female applicant from my undergraduate programme became so angry with the sexist attitudes she encountered in the same series of admissions interviews that she walked out. She left STEM and became a yoga instructor and studio owner. Kudos to her!","I was treated for depression in the gap year that followed, a condition exacerbated by working very long night shifts as a waitress and bartender. I didn't connect the decision not to attempt my PhD in the field I'd trained for to my  depression, except in retrospect.","I left STEM and switched to Social Science. I thought that the culture would be different and senior men less likely to harass... (huh?!)  Because I only have postgraduate-level training in Social Sciences, it's often been suggested to me that I'm ill-prepared for teaching or won't be able to contextualise topics properly in the history of my current discipline etc. etc.","Totally blocked out this guy's name...  But now I know why I have anxiety when it comes to job interviews... Skype? Fine.  UK-style panel interview, good. Anything involving 1:1 meetings?  Stress-inducing, even decades later.",Male
12/6/2017 12:26:12,"Colleague told me, I don't need to do a PhD because I will be married and have children anyway.",MA student,"Also MA student, around the same age",Other Type of School,European University,History,,"none, did not report",none,none,none,motivated me to finish my PhD earlier and working hard to get a better job than him.,"This didn't really impact me much, so it's maybe not the best story to include (also I guess I'm lucky that this is the worst that has ever happened to me), but I think about it quite often and it makes me rather angry, every time I see him.",Male
12/6/2017 12:37:06,"Professor made remarks about my appearance and chest size. He also made it known that that he did not approve of me earning as PhD as a mom with kids at home. This was my first year of grad school, in 2008.",First year graduate student.,"Tenured professor, supervising me as his teaching assistant",Other R1,,History,,"Met with department head to report, nothing happened after that I'm aware of. ",None.,Probably none.,I considered quitting grad school. I was sick with anxiety for most of the quarter about having to work with this person three times a week as his subordinate.,"I left academia after the PhD, but largely for other reasons. However, ",,Male
